Train No,Train name,Source Station,Destination Station
12723,A P EXP,HYDERABAD DECAN (HYB),NEW DELHI (NDLS)
12724,A P EXPRESS,NEW DELHI (NDLS),HYDERABAD DECAN (HYB)
12707,A P Smprk Krnti,TIRUPATI (TPTY),H NIZAMUDDIN (NZM)
15609,ABADH ASSAM EXP,GUWAHATI (GHY),LALGARH JN (LGH)
15609,ABADH ASSAM EXP(route 2),GUWAHATI (GHY),DARBHANGA JN (DBG)
18242,ABKP DURG PAS E,AMBIKAPUR (ABKP),DURG (DURG)
11266,ABKP JBP EXPRESS,AMBIKAPUR (ABKP),JABALPUR (JBP)
12941,ADI ASANSOL EXP,AHMEDABAD JN (ADI),ASANSOL JN (ASN)
9002,ADI BCT SUP SPL,AHMEDABAD JN (ADI),MUMBAI CENTRAL (BCT)
12267,ADI DURANTO EXP,MUMBAI CENTRAL (BCT),AHMEDABAD JN (ADI)
19223,ADI JAT EXPRESS,AHMEDABAD JN (ADI),JAMMU TAWI (JAT)
9401,ADI MAO SPL,AHMEDABAD JN (ADI),MADGAON (MAO)
1224,ADI NAGPUR SPL,AHMEDABAD JN (ADI),NAGPUR (NGP)
1450,ADI PUNE SPL,AHMEDABAD JN (ADI),PUNE JN2 (PUNE)
12844,ADI PURI EXP,AHMEDABAD JN (ADI),PURI (PURI)
18406,ADI PURI EXP,AHMEDABAD JN (ADI),PURI (PURI)
16501,ADI SBC EXPRESS,AHMEDABAD JN (ADI),BANGALORE CY JN (SBC)
12958,ADI SJ RAJDHANI,NEW DELHI (NDLS),AHMEDABAD JN (ADI)
19944,ADI UDZ EXPRESS,AHMEDABAD JN (ADI),UDAIPUR CITY (UDZ)
12195,AF AII INTERCIT,AGRA FORT (AF),AJMER JN (AII)
12954,AG KRANTI RJDHN,H NIZAMUDDIN (NZM),MUMBAI CENTRAL (BCT)
12341,AGNIBINA EXPRESS,HOWRAH JN (HWH),ASANSOL JN (ASN)
12342,AGNIBINA EXPRESS,ASANSOL JN (ASN),HOWRAH JN (HWH)
15696,AGTL LMG EXPRES,AGARTALA (AGTL),LUMDING JN (LMG)
16326,Ahilyanagari Ex,TRIVANDRUM CNTL (TVC),INDORE JN BG (INDB)
16325,Ahilyanagari Ex,INDORE JN BG (INDB),TRIVANDRUM CNTL (TVC)
11096,AHIMSA EXPRESS,PUNE JN2 (PUNE),AHMEDABAD JN (ADI)
11091,AHIMSA EXPRESS,BHUJ (BHUJ),PUNE JN2 (PUNE)
11095,AHIMSA EXPRESS,AHMEDABAD JN (ADI),PUNE JN2 (PUNE)
16502,AHMADABAD EXP,BANGALORE CY JN (SBC),AHMEDABAD JN (ADI)
11050,AHMEDABAD EXP,C SHAHUMHARAJ T (KOP),AHMEDABAD JN (ADI)
59442,AHMEDABAD PASS,AHMEDABAD JN (ADI),MUMBAI CENTRAL (BCT)
59441,AHMEDABAD PASS(route 2),MUMBAI CENTRAL (BCT),NANDURBAR (NDB)
9001,AHMEDABAD SUP SP,MUMBAI CENTRAL (BCT),AHMEDABAD JN (ADI)
12196,AII AF INTERCIT,AJMER JN (AII),AGRA FORT (AF)
12990,AII BCT EXPRESS,AJMER JN (AII),DADAR (DDR)
12996,AII BDTS SF EXP,UDAIPUR CITY (UDZ),BANDRA TERMINUS (BDTS)
946,AII BL SPECIAL,AJMER JN (AII),VALSAD (BL)
9640,AII HW SPECIAL,AJMER JN (AII),HARIDWAR JN (HW)
